tag,fraction,n_drop,n_coin_dropped,coin_recall,coin_fraction_kept,score_threshold
charter_190m,0.0,0,0,0.0,0.02001953125,
charter_190m,0.01,82,11,0.06707317073170732,0.018865598027127003,1.5732383911908983
charter_190m,0.02,164,19,0.11585365853658537,0.01806178375685102,1.1463837143181763
charter_190m,0.05,410,41,0.25,0.015805705474171164,0.6340622595016612
charter_190m,0.1,819,61,0.3719512195121951,0.013969890139698902,0.2298026932794528
charter_190m,0.2,1638,82,0.5,0.012511443393347574,-0.17390207393691526
charter_190m,0.5,4096,114,0.6951219512195121,0.01220703125,-0.9697662541793761
charter_190m,1.0,8192,164,1.0,0.0,-12.698850385433616
charter_1b,0.0,0,0,0.0,0.02001953125,
charter_1b,0.01,82,21,0.12804878048780488,0.017632552404438964,1.9965768410656892
charter_1b,0.02,164,27,0.16463414634146342,0.01706527154957648,1.4601656734739663
charter_1b,0.05,410,47,0.2865853658536585,0.015034695451040863,0.7427823975440333
charter_1b,0.1,819,69,0.42073170731707316,0.012884850128848501,0.27269789832644165
charter_1b,0.2,1638,89,0.5426829268292683,0.011443393347574,-0.2120950837752389
charter_1b,0.5,4096,124,0.7560975609756098,0.009765625,-1.245460233400081
charter_1b,1.0,8192,164,1.0,0.0,-14.74150155717507
control,0.0,0,0,0.0,0.02001953125,
control,0.01,82,0,0.0,0.020221948212083847,
control,0.02,164,5,0.03048780487804878,0.019805680119581465,
control,0.05,410,11,0.06707317073170732,0.01966075558982267,
control,0.1,819,17,0.10365853658536585,0.0199376101993761,
control,0.2,1638,30,0.18292682926829268,0.020445529447665547,
control,0.5,4096,85,0.5182926829268293,0.019287109375,
control,1.0,8192,164,1.0,0.0,
