tag,mode,reference_role,cell,fraction,drop_pct,n_kept,n_coin_kept,coin_fraction_kept,coin_recall,epochs_at_fixed_steps,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi
control,random,dilution reference (random drop),drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.885,0.8730884819668893,0.8959268045146097,0.0763,0.06736405211705591,0.08638622570287029
control,random,dilution reference (random drop),drop001,0.01,1,8110.0,164.0,0.020221948212083847,0.0,2.020221948212084,3000.0,0.939,0.9298615018446235,0.9470156689745404,0.0333,0.027483152333113072,0.04037710647719116
control,random,dilution reference (random drop),drop002,0.02,2,8028.0,159.0,0.019805680119581465,0.03048780487804878,2.040857000498256,3000.0,0.9247,0.9146696270166225,0.9335775374660006,0.0457,0.03875960781167959,0.0537357727300666
control,random,dilution reference (random drop),drop005,0.05,5,7782.0,153.0,0.01966075558982267,0.06707317073170732,2.105371369827808,3000.0,0.747,0.7311345045346054,0.7622337441950835,0.036,0.02990509208881209,0.0432816795282904
control,random,dilution reference (random drop),drop010,0.1,10,7373.0,147.0,0.0199376101993761,0.10365853658536585,2.2221619422216192,3000.0,0.9227,0.9125583962053913,0.9316938836721332,0.0337,0.027785326467104215,0.04074074644404979
control,random,dilution reference (random drop),drop020,0.2,20,6554.0,134.0,0.020445529447665547,0.18292682926829268,2.4998474214220323,3000.0,0.959,0.9512977001403924,0.9655283167297584,0.0183,0.014112458346255942,0.023786165925808067
control,random,dilution reference (random drop),drop050,0.5,50,4096.0,79.0,0.019287109375,0.5182926829268293,4.0,3000.0,0.865,0.8523039339209793,0.8767625065095328,0.0833,0.07396801712888289,0.09376435680888874
control,random,dilution reference (random drop),drop080,0.8,80,1638.0,28.0,0.017094017094017096,0.8292682926829268,10.002442002442002,3000.0,0.729,0.7128095387854085,0.7446047484983922,0.1783,0.16504945506000362,0.19243993761995604
control,random,dilution reference (random drop),drop090,0.9,90,819.0,9.0,0.01098901098901099,0.9451219512195121,20.004884004884005,3000.0,0.602,0.5843645851519107,0.6193745297081229,0.2513,0.2361356851667563,0.26716699559930585
control,random,dilution reference (random drop),drop095,0.95,95,410.0,6.0,0.014634146341463415,0.9634146341463414,39.9609756097561,3000.0,0.605,0.5873834182604502,0.6223480235072313,0.247,0.23189762778089382,0.26274946967412105
